Date,Open,High,Low,Last,Close,Volume
10-18-2010,229.425003,232.878006,223.875,231.373993,202.273209,1862740
10-19-2010,232.908005,234.481003,230.335007,231.602005,202.472549,1736155
10-20-2010,230.533005,232.511993,227.565002,228.662994,199.903198,1254445
10-21-2010,229.544006,233.106003,229.544006,230.820007,201.78891,1173514
10-22-2010,231.522995,232.412994,226.774002,228.020004,199.341064,773150
10-25-2010,229.147995,235.154007,229.147995,234.412003,204.929123,1420594
10-26-2010,234.440994,236.865997,233.184998,235.837006,206.174911,1800441
10-27-2010,235.677994,237.656998,234.005997,236.320999,206.598007,975942
10-28-2010,237.459,238.764999,234.490997,235.578995,205.949356,1102436
10-29-2010,235.085007,236.419998,225.882996,229.434998,200.578079,1511391
11-1-2010,232.710007,234.074997,230.335007,231.591995,202.463791,380271
11-2-2010,233.382996,233.382996,226.388,228.337006,199.618195,3196748
11-3-2010,230.335007,235.876007,230.235992,234.550003,205.049774,1207231
11-4-2010,235.529999,245.373993,233.164993,244.009003,213.319077,3347812
11-8-2010,247.352997,252.873993,245.968002,250.914993,219.356476,1862371
11-9-2010,251.806,256.199005,249.727997,251.419998,219.797943,3237227
11-10-2010,267.141998,267.141998,256.614014,257.673004,225.264511,7233312
11-11-2010,260.216003,261.927002,250.322006,252.597,220.826935,3112188
11-12-2010,250.914993,255.485992,245.414001,246.473007,215.47316,2731012
11-15-2010,247.352997,248.917007,242.425995,247.807999,216.640244,1925293
11-16-2010,249.332001,250.322006,235.281998,238.755005,208.725891,2458700
11-18-2010,239.882996,244.959,232.908005,243.574005,212.938782,3726208
11-19-2010,244.781006,246.354004,233.134995,235.490005,205.871536,2713997
11-22-2010,237.964005,243.929993,235.876007,242.990005,212.428253,2616318
11-23-2010,240.822998,243.197998,233.699005,240.160004,209.954178,2833508
11-24-2010,240.625,249.302002,238.854004,240.921997,210.620331,2692197
11-25-2010,243.772003,247.334,237.468994,238.705994,208.683029,1655774
11-26-2010,239.893005,240.981995,225.130997,230.830002,201.797653,4601333
11-29-2010,230.731003,236.153,226.576004,234.688995,205.171265,1992676
11-30-2010,234.074997,246.255005,230.335007,244.800995,214.011444,4193111
12-1-2010,243.434998,257.841003,242.802002,254.903,222.842896,5014851
12-2-2010,256.356995,262.927002,256.356995,261.273987,228.412582,5086075
12-3-2010,260.216003,266.350006,257.683014,260.186005,227.461441,3794410
12-6-2010,261.799011,273.355011,261.601013,268.824005,235.013,5361986
12-7-2010,267.933014,267.933014,259.779999,263.559998,230.411057,3052445
12-8-2010,263.18399,266.369995,256.455994,264.213013,230.981949,3582739
12-9-2010,265.102997,265.162994,248.787994,251.766006,220.100449,3278847
12-10-2010,251.192001,251.192001,240.001999,246.977005,215.913773,3519970
12-13-2010,248.936005,255.832993,247.947006,252.468994,220.715027,2531763
12-14-2010,254.042007,259.612,251.024002,257.998993,225.5495,2482562
12-15-2010,256.565002,264.222992,255.268997,261.244995,228.387238,3209811
12-16-2010,260.414001,270.862,255.664001,266.735992,233.187607,3905678
12-20-2010,263.975006,269.061005,261.799011,265.993988,232.538895,2763380
12-21-2010,266.834991,269.842987,264.005005,267.053009,233.464706,1979921
12-22-2010,268.131012,271.494995,266.507996,270.229004,236.241287,2212336
12-23-2010,270.199005,270.872009,264.371002,266.903992,233.334488,1258483
12-24-2010,266.152008,266.152008,257.662994,258.454987,225.948135,2628477
12-27-2010,258.019012,261.204987,256.020996,257.365997,224.996109,1544238
12-28-2010,258.14801,258.613007,249.738007,250.856003,219.304901,2187610
12-29-2010,250.914993,253.240005,247.759003,251.776001,220.109192,2384812
12-30-2010,252.695999,257.049988,251.904999,256.496002,224.235535,2249929
12-31-2010,258.22699,259.919006,256.575012,258.493988,225.982224,1838938
1-3-2011,261.403015,264.035004,257.811005,258.523987,226.008469,1643095
1-4-2011,259.622009,261.403015,254.675003,257.346008,224.978622,2744824
1-5-2011,256.653992,259.226013,252.330002,253.764999,221.848007,1349274
1-6-2011,254.783997,257.445007,247.352997,249.143997,217.808228,1797030
1-7-2011,248.936005,250.113998,233.046005,235.380997,205.77626,4023046
1-10-2011,235.479996,238.794998,229.147995,233.154999,203.830215,3918630
1-11-2011,234.470993,237.261002,226.070999,229.602997,200.72496,3267841
1-12-2011,233.501999,241.307999,232.669998,240.703995,210.429733,4659256
1-13-2011,241.020996,246.363998,239.339005,244.514008,213.760559,3291986
1-14-2011,242.009995,242.584,232.313995,233.225006,203.891434,2904949
1-17-2011,233.600006,235.479996,228.554001,233.541,204.167679,2366150
1-18-2011,234.292999,238.953003,234.016006,237.231995,207.394424,2114379
1-19-2011,238.339996,238.843994,234.005997,236.182999,206.477386,1187926
1-20-2011,233.501999,238.330002,230.048004,236.608002,206.848938,1960040
1-21-2011,235.085007,238.052994,232.531998,235.123993,205.551559,1614346
1-24-2011,235.024994,237.063004,232.531998,235.085007,205.517487,1117440
1-25-2011,236.716995,237.063004,229.147995,230.593002,201.590454,1523736
1-27-2011,233.322998,237.300995,231.729996,236.320999,206.598007,1973958
1-28-2011,234.837006,234.886993,221.994995,226.714005,198.199326,2744773
1-31-2011,222.222,229.167999,220.242996,227.218994,198.640808,1843148
2-1-2011,228.158997,228.653,210.320007,211.496994,184.896225,6043673
2-2-2011,213.712997,222.806,213.514999,219.817993,192.170654,3366172
2-3-2011,218.660004,229.940002,216.324997,228.781998,200.007217,3860050
2-4-2011,228.337006,235.085007,225.636002,227.485992,198.874222,3581193
2-7-2011,226.378006,229.395004,219.848007,226.753998,198.234283,4108005
2-8-2011,226.576004,228.929993,218.462006,220.263,192.559677,3523578
2-9-2011,217.671005,221.322006,208.875,213.188995,186.375412,3541483
